period,uf,filename,source_url,accessed_at,last_modified,etag,remote_size_bytes,local_relative_path,local_size_bytes,sha256,status,error_class
202412,AC,pda-024-icb-AC-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-AC-2024_12.zip,2026-08-24T11:55:43.330593+00:00,"Wed, 05 Aug 2026 13:09:21 GMT","""60ff5-6584c7acba391""",397301,202412/pda-024-icb-AC-2024_12.zip,397301,78df9d6d6fabd31f41089e0cc2e4e5041a0de00f078ba339bd837cd3f537e2dc,complete,
202412,AL,pda-024-icb-AL-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-AL-2024_12.zip,2026-08-24T11:56:03.134801+00:00,"Wed, 05 Aug 2026 13:09:22 GMT","""3140ac-6584c7ad86923""",3227820,202412/pda-024-icb-AL-2024_12.zip,3227820,67d9b6a9a0f190341c31c789895d5c4b05bca373de09622cf6c4df6d1a61fff2,complete,
202412,AM,pda-024-icb-AM-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-AM-2024_12.zip,2026-08-24T11:56:12.219133+00:00,"Wed, 05 Aug 2026 13:09:22 GMT","""1adad5-6584c7adfb459""",1759957,202412/pda-024-icb-AM-2024_12.zip,1759957,3e220851caa430cbbcd90f8407bf8c8c350dc5ac7b3cc6543e5c420b336c652c,complete,
202412,AP,pda-024-icb-AP-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-AP-2024_12.zip,2026-08-24T11:56:21.787916+00:00,"Wed, 05 Aug 2026 13:09:22 GMT","""80168-6584c7ae37164""",524648,202412/pda-024-icb-AP-2024_12.zip,524648,68fa74a6c0640c6d5427069d483fff9989c85301ff8dc9772111b31a8063ffa6,complete,
202412,BA,pda-024-icb-BA-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-BA-2024_12.zip,2026-08-24T11:57:08.650474+00:00,"Wed, 05 Aug 2026 13:09:32 GMT","""10943a3-6584c7b75613a""",17384355,202412/pda-024-icb-BA-2024_12.zip,17384355,7783921be60b460f5871052a73b43c858c2caaa69c7ea33590461219f98d7064,complete,
202412,CE,pda-024-icb-CE-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-CE-2024_12.zip,2026-08-24T11:57:49.048883+00:00,"Wed, 05 Aug 2026 13:09:42 GMT","""7be0fc-6584c7c0c1ba5""",8118524,202412/pda-024-icb-CE-2024_12.zip,8118524,da5ac1ba35415a1b17e89de8e07c0daced8729fef6a31ae12d842f2078bb5ab3,complete,
202412,DF,pda-024-icb-DF-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-DF-2024_12.zip,2026-08-24T11:58:10.510363+00:00,"Wed, 05 Aug 2026 13:09:33 GMT","""287c69-6584c7b816b4c""",2653289,202412/pda-024-icb-DF-2024_12.zip,2653289,8acb7b4acf0f121ca26167276c7bfcf3dc24393f563c492c57c3d4d053a69b5d,complete,
202412,ES,pda-024-icb-ES-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-ES-2024_12.zip,2026-08-24T11:58:36.653952+00:00,"Wed, 05 Aug 2026 13:09:25 GMT","""8cc718-6584c7b065719""",9226008,202412/pda-024-icb-ES-2024_12.zip,9226008,dbbd376010ac82c11f7a9274ccbf93917e112edb06c12fa7c499149d0f41874a,complete,
202412,GO,pda-024-icb-GO-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-GO-2024_12.zip,2026-08-24T11:59:07.737151+00:00,"Wed, 05 Aug 2026 13:09:28 GMT","""c2294c-6584c7b359ccf""",12724556,202412/pda-024-icb-GO-2024_12.zip,12724556,4d51f2e0fbcbab2e9104482767912b9efc367b9611c60002016de5b4b7ed8407,complete,
202412,MA,pda-024-icb-MA-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-MA-2024_12.zip,2026-08-24T11:59:28.604488+00:00,"Wed, 05 Aug 2026 13:09:34 GMT","""4aeba6-6584c7b949d6c""",4909990,202412/pda-024-icb-MA-2024_12.zip,4909990,5cf832b473e0197673431294fdd53218c44335e4f2fabc862dedfc3bba01e94d,complete,
