source_dataset,cohort,competence_month,n_unique_aih,n_active_hospitals,n_active_provider_municipalities,source_artifact,source_sha256,year,adult_population,total_population,denominator_population,rate_per_100k,denominator_definition
monthly_observed_uptake,A,202409,2170,256.0,152.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202410,2153,268.0,153.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202411,1951,260.0,156.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202412,2121,264.0,157.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202501,2095,258.0,150.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202502,2206,264.0,155.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202503,2149,268.0,152.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202504,2298,268.0,163.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202505,2514,282.0,164.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202506,2346,272.0,163.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202507,2589,282.0,167.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
