source_dataset,threshold_minutes,scenario,n_removed,removed_service_municipio,newly_uncovered_complete_case,newly_uncovered_upper_bound,adult_population_complete_case,adult_population_missing_anchor,adult_population_covered,adult_population_uncovered,adult_population_uncovered_upper_bound,n_complete_case_municipality_year,n_missing_anchor_municipality_year,newly_uncovered_complete_case_display,newly_uncovered_upper_bound_display,source_artifact,source_sha256
targeted_structural_stress_test,120,sequential_top_B_in_strength,66,314330,160329126.0,160329126.0,801096930.0,3973.0,460835329.0,340261601.0,340265574.0,27850,1,160329126,160329126,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,67,354870,160329126.0,160329126.0,801096930.0,3973.0,460835329.0,340261601.0,340265574.0,27850,1,160329126,160329126,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,68,355410,160424712.0,160424712.0,801096930.0,3973.0,460739743.0,340357187.0,340361160.0,27850,1,160424712,160424712,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,69,351340,161311486.0,161311486.0,801096930.0,3973.0,459852969.0,341243961.0,341247934.0,27850,1,161311486,161311486,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,70,250400,167084581.0,167084581.0,801096930.0,3973.0,454079874.0,347017056.0,347021029.0,27850,1,167084581,167084581,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,71,172100,168457839.0,168457839.0,801096930.0,3973.0,452706616.0,348390314.0,348394287.0,27850,1,168457839,168457839,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,72,293135,170263075.0,170263075.0,801096930.0,3973.0,450901380.0,350195550.0,350199523.0,27850,1,170263075,170263075,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,73,330350,170284355.0,170284355.0,801096930.0,3973.0,450880100.0,350216830.0,350220803.0,27850,1,170284355,170284355,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,74,291800,172409620.0,172409620.0,801096930.0,3973.0,448754835.0,352342095.0,352346068.0,27850,1,172409620,172409620,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,75,431410,175542527.0,175542527.0,801096930.0,3973.0,445621928.0,355475002.0,355478975.0,27850,1,175542527,175542527,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,76,231140,176396473.0,176396473.0,801096930.0,3973.0,444767982.0,356328948.0,356332921.0,27850,1,176396473,176396473,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,77,150420,176807185.0,176807185.0,801096930.0,3973.0,444357270.0,356739660.0,356743633.0,27850,1,176807185,176807185,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
