source_dataset,cohort,year,res_municipio,observed_treatment,self_sufficiency,n_destinations,destination_hhi,destination_diversity_entropy,main_destination,main_destination_share,cross_municipality_share,cross_state_share,adult_population,potential_coverage_120,potential_coverage_180,ivs,n_aih_display,source_artifact,source_sha256
suppressed_service_area,A,2023,130200,False,NA,0,NA,NA,NA,NA,NA,NA,6892.0,False,False,0.515,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130210,False,NA,0,NA,NA,NA,NA,NA,NA,5242.0,False,False,0.636,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130220,True,0.0,1,1.0,-0.0,230440.0,1.0,1.0,1.0,6866.0,False,False,0.673,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130230,False,NA,0,NA,NA,NA,NA,NA,NA,14580.0,False,False,0.743,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130240,False,NA,0,NA,NA,NA,NA,NA,NA,30747.0,False,False,0.654,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130250,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,71224.0,False,False,0.495,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130255,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,11413.0,False,True,0.535,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130260,True,0.9967948717948718,2,0.9936102892833664,0.0216070477846688,130260.0,0.9967948717948718,0.0032051282051282,0.0032051282051282,1613878.0,True,True,0.387,312,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130270,False,NA,0,NA,NA,NA,NA,NA,NA,36137.0,False,False,0.547,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130280,False,NA,0,NA,NA,NA,NA,NA,NA,8966.0,False,False,0.682,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130290,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,38479.0,False,False,0.511,7,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130300,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,13471.0,False,False,0.615,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130310,False,NA,0,NA,NA,NA,NA,NA,NA,17265.0,False,False,0.543,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130320,False,NA,0,NA,NA,NA,NA,NA,NA,10176.0,False,False,0.5,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130330,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,15944.0,False,False,0.698,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130340,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,67561.0,False,False,0.489,6,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130350,False,NA,0,NA,NA,NA,NA,NA,NA,12163.0,False,False,0.713,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130353,True,0.0,1,1.0,-0.0,130260.0,1.0,1.0,0.0,21719.0,False,True,0.426,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2023,130356,False,NA,0,NA,NA,NA,NA,NA,NA,17253.0,True,True,0.474,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
