source_dataset,year,municipio,adult_population,total_population,n_provider_municipalities_120,n_provider_municipalities_180,has_provider_120,has_provider_180,anchor_available,monotonic,source_artifact,source_sha256
municipality_coverage,2023,250430,24492.0,31980.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250435,3958.0,5422.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250440,14048.0,18735.0,1,1,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250450,5061.0,6631.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250460,20429.0,28986.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250470,3865.0,5058.0,1,2,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250480,11213.0,15041.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250485,1479.0,1851.0,1,2,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250490,12717.0,17594.0,3,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250500,5755.0,7781.0,1,3,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250510,15508.0,20197.0,0,3,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250520,4964.0,6878.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250523,4700.0,6417.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250527,4003.0,5391.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250530,1742.0,2304.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250535,3800.0,5105.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250540,6067.0,8292.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250550,2815.0,3715.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250560,4780.0,6433.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250570,7746.0,10638.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250580,2562.0,3373.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250590,2237.0,3045.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250600,23742.0,32432.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250610,8206.0,11312.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250620,2300.0,2890.0,1,2,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250625,6113.0,8384.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250630,44430.0,59616.0,2,5,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250640,10437.0,14127.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250650,2460.0,3301.0,1,3,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250660,4356.0,5745.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250670,7619.0,10629.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250680,13503.0,18162.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250690,18025.0,23715.0,3,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250700,18351.0,24640.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250710,13766.0,18920.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250720,7793.0,10785.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250730,10913.0,14878.0,2,5,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250740,5974.0,7725.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250750,674512.0,881644.0,3,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250760,5940.0,8024.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250770,12175.0,17449.0,1,3,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250780,5165.0,6983.0,2,2,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250790,7407.0,10251.0,3,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250800,7075.0,9444.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250810,3434.0,4499.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250820,5885.0,8046.0,1,5,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250830,21175.0,28885.0,2,5,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250840,2459.0,3241.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250850,5127.0,7057.0,0,2,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250855,3588.0,4954.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250860,9125.0,12944.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250870,2681.0,3626.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250880,4660.0,6229.0,0,2,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,250890,33110.0,46424.0,2,3,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
